name,CO2,image,categoryId,model_label,P_type
核桃杏香酥,170,,2,,-
金獎鳳黃酥,260,,2,,-
元本山味付海苔,140,,2,,元本山12切4枚6束海苔
烏沙蛋黃酥,360,,2,,-
野菽家營養棒-蜂蜜檸檬,85,,2,,BUZS-3012-UG
野菽家營養棒-海苔藜麥,90,,2,,BUX-3012-UG
野菽家營養棒-蔓越莓,85,,2,,BUA-3012-UG
素媽媽-川味朝天椒香烤肉片,340,,2,,AQT-10024-NA
素媽媽-黑胡椒香烤肉片,340,,2,,AQC-10024-NA
素媽媽-BBQ香烤肉片,320,,2,,AQB-10024-NA
安心豚紅麴肉酥 200克,3400,,2,,876H
安心豚葵花油肉酥 200克,3600,,2,,876F
安心豚海苔芝麻肉酥 200克,2800,,2,,876G
泰山TWIST WATER環保包裝水(包裝飲用水),150,,4,,PET瓶裝600ml
悅氏礦泉水,320,,4,,1500ml
悅氏礦泉水,190,,4,,600ml
悅氏礦泉水,180,,4,,330ml
FMC鹼性離子水,360,,4,,800ml
FMC鹼性離子水,450,,4,,1385ml
FMC天然水,600,,4,,2200ml
泰山TWIST WATER環保包裝水(包裝飲用水),276,,4,,PET瓶裝1460ml
泰山TWIST WATER環保包裝水(包裝飲用水),145,,4,,PET瓶裝600ml
泰山TWIST WATER環保包裝水(包裝飲用水),260,,4,,PET瓶裝1460ml
FMC 小分子氣泡水,340,,4,,500ml
FMC 小分子檸檬氣泡水,360,,4,,500ml
黑松沙士,320,,4,,PET瓶600ml
統一陽光陽光黃金豆豆漿,380,,4,,450ml
愛之味純濃燕麥(天然原味),300,,4,,290ml
愛之味純濃燕麥(天然原味),280,,4,,340ml
愛之味純濃燕麥(天然原味),850,,4,,880ml
雀巢金牌濾掛咖啡100％阿拉比卡柑橘果香,140,,4,,10x8g
雀巢金牌濾掛咖啡100％阿拉比卡柑橘果香,140,,4,,55x8g 
生活泡沫綠茶 300ml,130,,4,,生活泡沫綠茶 300ml
生活泡沫綠茶 500ml,220,,4,,生活泡沫綠茶 500ml
生活運動飲料 300ml,110,,4,,生活運動飲料 300ml
生活運動飲料 500ml,140,,4,,生活運動飲料 500ml
生活泡沫奶茶 300ml,180,,4,,生活泡沫奶茶 300ml
生活泡沫紅茶 300ml,120,,4,,生活泡沫紅茶 300ml
生活泡沫紅茶 500ml,240,,4,,生活泡沫紅茶 500ml
麥香奶茶TP300ml,160,,4,,TP300ml
麥香紅茶TP300ml,120,,4,,TP300ml
麥香綠茶TP300ml,130,,4,,TP300ml
黑松茶花綠茶,260,,4,,PET瓶580ml
黑松FIN補給飲料,260,,4,,PET瓶580ml
0.75L-58°金門高粱酒,3600,,4,,-
0.6L-58°金門高粱酒,3000,,4,,-
0.3L-58°金門高粱酒,1600,,4,,-
香豬油王-調合豬油,28000,,3,,130009000
安心豚原味貢丸-360g,3000,,3,,870G
安心豚香菇貢丸-360g,3000,,3,,870H
行健有機糙米-2000g-品種高雄145,3400,,3,,-
行健有機白米-2000g-品種秈22,2800,,3,,-
行健有機胚芽米(2kg)，品種秈22,2800,,3,,-
