name,CO2,model_label
泰山TWISTWATER環保包裝水(包裝飲用水),150.0,28.0
香豬油王-調合豬油,28000.0,54.0
核桃杏香酥,170.0,23.0
金獎鳳黃酥,260.0,52.0
安心豚原味貢丸360克,3000.0,11.0
行健有機糙米(2kg)品種高雄145,3400.0,49.0
行健有機白米(600g)品種秈22,850.0,48.0
行健有機胚芽米(600g)品種秈22,850.0,50.0
大豆沙拉油(1L),1500.0,10.0
FMC鹼性離子水,360.0,6.0
勤億是好機能蛋(8粒入PulpCarton),2600.0,8.0
幸福牧場蛋黃香機能蛋(12粒入PulpCarton),5000.0,20.0
幸福牧場放山人道雞蛋(8粒入PulpCarton),2200.0,19.0
元本山味付海苔,140.0,7.0
1000g合進麵線の味關廟麵,1000.0,3.0
安心豚梅花肉片200公克,1600.0,12.0
安心豚里肌火鍋肉片200公克,1600.0,17.0
安心豚白玉五花肉片200公克,1600.0,14.0
蒲公英環保抽取式擦手紙巾,750.0,46.0
蒲公英環保抽取式衛生紙,300.0,47.0
春風抽取式衛生紙,400.0,22.0
FMC小分子氣泡水,340.0,5.0
FMC小分子檸檬氣泡水,360.0,4.0
黑松沙士,320.0,59.0
統一麵肉燥風味特大號(85g),190.0,43.0
石安牧場動福蛋,3800.0,35.0
幸福牧場放山人道雞蛋,700.0,18.0
統一陽光陽光黃金豆豆漿,380.0,42.0
愛之味純濃燕麥(天然原味),300.0,21.0
野菽家營養棒-蜂蜜檸檬,85.0,51.0
雀巢金牌濾掛咖啡100％阿拉比卡柑橘果香,140.0,53.0
生活泡沫綠茶300ml,130.0,32.0
生活運動飲料300ml,110.0,33.0
生活泡沫奶茶300ml,180.0,30.0
生活泡沫紅茶300ml,120.0,31.0
麥香奶茶TP300ml,160.0,55.0
麥香紅茶TP300ml,120.0,56.0
麥香綠茶TP300ml,130.0,57.0
黑松茶花綠茶,260.0,60.0
黑松FIN補給飲料,260.0,58.0
0.75L-58°金門高粱酒,3600.0,2.0
0.6L-58°金門高粱酒,3000.0,1.0
0.3L-58°金門高粱酒,1600.0,0.0
福壽100％芝麻油,800.0,36.0
素媽媽-川味朝天椒香烤肉片,340.0,41.0
咖啡因洗髮精,11000.0,9.0
茶樹洗手乳,2800.0,44.0
茶花控油洗髮精,11000.0,45.0
歐萊德保濕護髮素(木蘭香),110000.0,26.0
桃花輕盈沐浴乳,45000.0,24.0
竹萃保濕護髮素,6000.0,37.0
淨毒五郎蔬果清潔劑補充瓶(1000ml),1100.0,29.0
泡舒植物強效洗潔精965ml(1000g),1600.0,27.0
橘子工坊五合一洗衣金球,1400.0,25.0
紅龍牌日正粉絲(3kg),15000.0,38.0
白御粉絲(3kg),17000.0,34.0
紐西蘭天然無水奶油10KG,180000.0,39.0
紐西蘭天然無水奶油900G,18000.0,40.0
安心豚紅麴肉酥200克,3400.0,15.0
安心豚葵花油肉酥200克,3600.0,16.0
安心豚海苔芝麻肉酥200克,2800.0,13.0
